Akashiwo sanguinea (cells/L),Alexandrium spp. (cells/L),Ammonia (uM),Chlorophyll (mg/m3),Dinophysis spp. (cells/L),Domoic Acid (ng/mL),Lingulodinium polyedrum (cells/L),Nitrate (uM),Nitrite (uM),Phosphate (uM),Prorocentrum spp. (cells/L),Pseudo-nitzschia delicatissima group (cells/L),Pseudo-nitzschia seriata group (cells/L),Silicate (uM),Water Temperature (C),date,Upwelling Index,ONI
500.0,0.0,1.442,1.24,700.0,0.0,18000.0,0.498,0.03,0.261,5000.0,2300.0,2700.0,5.44,19.4,2008-08-05,57.0,-0.3
0.0,0.0,1.26,0.78,0.0,0.0,15599.0,0.49,0.34133116993464047,0.32,5200.0,0.0,0.0,5.4,21.5,2008-08-11,114.0,-0.3
0.0,0.0,7.799657879999999,3.57,0.0,0.1,0.0,1.0773083387096776,0.34133116993464047,0.9892296261261256,19300.0,24900.0,0.0,6.4770167584541065,17.5,2008-08-11,99.0,-0.3
0.0,0.0,0.41,1.8,0.0,0.0,0.0,0.2,0.01,0.33,640.0,9440.0,2080.0,3.3,22.0,2008-08-11,114.0,-0.3
0.0,0.0,1.527,2.21,400.0,0.1,65400.0,0.372,0.114,0.483,5000.0,0.0,540.0,4.565,18.4,2008-08-11,99.0,-0.3
3199.0,9596.0,7.799657879999999,4.19,0.0,0.0,0.0,1.0773083387096776,0.34133116993464047,0.9892296261261256,30922.0,0.0,3199.0,6.4770167584541065,14.9,2008-08-15,46.0,-0.3
0.0,0.0,0.08,1.82,0.0,0.0,0.0,0.16,0.0,0.24,400.0,2640.0,480.0,3.3,24.4,2008-08-18,107.0,-0.3
0.0,0.0,3.24,7.54,0.0,0.0,103994.0,0.53,0.34133116993464047,0.32,5200.0,0.0,0.0,5.0,19.5,2008-08-18,107.0,-0.3
150.0,0.0,1.113,1.64,600.0,0.0,18500.0,0.367,0.153,0.505,7000.0,0.0,0.0,6.755,18.9,2008-08-18,83.0,-0.3
2133.0,0.0,7.799657879999999,7.74,0.0,0.0,1066.0,1.0773083387096776,0.34133116993464047,0.9892296261261256,21326.0,24524.0,41585.0,6.4770167584541065,15.5,2008-08-19,74.0,-0.3
0.0,0.0,6.11,4.73,0.0,0.0,57197.0,0.89,0.21,0.31,36398.0,25998.0,0.0,3.0,20.0,2008-08-25,41.0,-0.3
300.0,0.0,3.221,0.92,150.0,0.0,9000.0,0.509,0.15,0.569,3500.0,200.0,1200.0,8.279,19.6,2008-08-25,71.0,-0.3
0.0,2133.0,7.799657879999999,7.39,0.0,0.0,0.0,1.0773083387096776,0.34133116993464047,0.9892296261261256,8530.0,38386.0,8530.0,6.4770167584541065,17.8,2008-08-26,93.0,-0.3
0.0,0.0,2.84,1.81,0.0,0.0,0.0,0.65,0.2832927124183007,0.18,5200.0,46797.0,0.0,2.7,22.0,2008-09-02,19.0,-0.3
12795.0,0.0,4.116825243119267,12.38,6398.0,0.0,4265.0,1.1659958586387438,0.2832927124183007,0.7242988045454545,379594.0,0.0,0.0,8.301907438679246,16.0,2008-09-02,38.0,-0.3
350.0,0.0,2.117,2.4,2000.0,0.0,2900.0,0.501,0.043,0.246,16900.0,3300.0,3500.0,4.473,21.0,2008-09-02,28.5,-0.3
0.0,0.0,0.8,1.35,0.0,0.0,0.0,0.17,0.01,0.25,80.0,0.0,0.0,4.0,21.8,2008-09-02,19.0,-0.3
0.0,0.0,0.4,1.66,80.0,0.0,0.0,0.14,0.03,0.22,720.0,160.0,0.0,3.6,21.6,2008-09-08,33.0,-0.3
0.0,0.0,4.09,2.5,0.0,0.0,5200.0,0.94,0.31,0.16,0.0,0.0,0.0,8.301907438679246,20.5,2008-09-08,33.0,-0.3
4265.0,10663.0,4.116825243119267,24.21,14928.0,0.0,2133.0,1.1659958586387438,0.2832927124183007,0.7242988045454545,292160.0,17060.0,4265.0,8.301907438679246,16.3,2008-09-08,19.0,-0.3
0.0,0.0,2.454,5.47,700.0,0.0,43400.0,0.496,0.151,0.6,24200.0,150.0,300.0,7.639,17.8,2008-09-08,26.0,-0.3
0.0,0.0,0.22,3.88,240.0,0.0,160.0,0.16,0.01,0.23,1920.0,960.0,0.0,3.9,19.2,2008-09-15,70.0,-0.3
1300.0,320.0,2.317,4.9,920.0,0.0,18000.0,0.541,0.217,0.606,39000.0,340.0,0.0,6.923,17.4,2008-09-15,51.0,-0.3
0.0,0.0,6.56,2.17,0.0,0.0,10399.0,1.06,0.22,0.22,36398.0,0.0,0.0,2.0,18.0,2008-09-16,49.0,-0.3
17060.0,12795.0,35.6,4.890888971962618,14928.0,0.0,0.0,0.02,0.17,2.95,27723.0,0.0,0.0,116.0,15.5,2008-09-16,35.0,-0.3
0.0,0.0,0.18,2.15,0.0,0.0,0.0,0.13,0.02,0.25,1200.0,480.0,0.0,4.2,19.0,2008-09-22,52.0,-0.3
0.0,0.0,3.05,1.28,0.0,0.0,0.0,1.19,0.39,0.38,0.0,0.0,0.0,1.5,21.0,2008-09-22,52.0,-0.3
4265.0,0.0,0.2,28.83,2133.0,0.0,0.0,6.04,0.74,1.34,8530.0,21326.0,6398.0,90.37,14.1,2008-09-22,55.0,-0.3
100.0,0.0,1.347,1.86,600.0,0.0,400.0,0.507,0.096,0.343,10100.0,1900.0,300.0,4.015,17.8,2008-09-22,53.5,-0.3
0.0,0.0,0.44,2.48,0.0,0.0,160.0,0.2,0.02,0.33,560.0,960.0,0.0,3.4,18.1,2008-09-29,65.0,-0.3
0.0,0.0,2.335,1.82,0.0,0.0,0.0,1.228,0.278,0.472,4400.0,9600.0,2800.0,5.737,16.4,2008-09-29,38.0,-0.3
0.0,0.0,0.62,25.0,0.0,0.0,0.0,0.79,0.32,0.26,21326.0,0.0,0.0,74.67,15.3,2008-09-29,11.0,-0.3
0.0,0.0,0.98,1.32,0.0,0.0,80.0,0.28,0.04,0.28,880.0,1040.0,0.0,3.4,19.2,2008-10-06,20.0,-0.4
2133.0,0.0,1.19,10.01,4265.0,0.0,0.0,2.0,0.23,0.53,49049.0,0.0,0.0,70.73,14.3,2008-10-06,34.0,-0.4
0.0,0.0,2.18,2.54,0.0,0.0,0.0,0.44,0.20443788535031837,0.43,0.0,0.0,0.0,5.62,19.0,2008-10-06,20.0,-0.4
900.0,4300.0,6.714,8.04,1200.0,0.0,300.0,0.375,0.233,0.627,172000.0,15300.0,13400.0,4.356,18.1,2008-10-06,27.0,-0.4
0.0,0.0,0.92,2.37,0.0,0.0,160.0,1.0,0.04,0.27,5760.0,960.0,0.0,3.3,18.1,2008-10-13,4.0,-0.4
0.0,0.0,6.84,1.4,0.0,0.0,0.0,12.65,0.51,1.79,4265.0,0.0,0.0,97.7,12.3,2008-10-13,16.0,-0.4
0.0,0.0,5.9,1.94,0.0,0.0,0.0,1.66,0.38,0.42,0.0,0.0,0.0,3.0,15.0,2008-10-13,4.0,-0.4
0.0,0.0,2.71552,3.6,0.0,0.04,5610.0,1.34071,0.275778,0.62195,42262.0,0.0,0.0,4.5064400000000004,16.8,2008-10-20,104.5,-0.4
0.0,0.0,0.83,1.74,0.0,0.0,0.0,0.31,0.03,0.34,400.0,960.0,2240.0,2.2,16.6,2008-10-20,97.0,-0.4
0.0,0.0,2.5,1.13,0.0,0.0,0.0,0.6,0.20443788535031837,0.28,10399.0,0.0,0.0,2.83,17.0,2008-10-20,97.0,-0.4
12795.0,0.0,1.96,67.21,2133.0,0.0,0.0,5.13,0.79,1.24,49049.0,0.0,0.0,71.13,13.6,2008-10-20,112.0,-0.4
100.0,0.0,2.799,4.21,600.0,0.0,300.0,0.403,0.222,0.597,463000.0,22000.0,32000.0,4.691,15.3,2008-10-21,51.0,-0.4
0.0,6398.0,2.01,16.59,4265.0,0.0,0.0,4.76,0.33,0.83,8530.0,0.0,0.0,65.87,13.9,2008-10-27,28.0,-0.4
42000.0,1200.0,3.711,3.31,800.0,0.0,1400.0,0.358,0.559,0.426,79000.0,200.0,3800.0,3.793,16.7,2008-10-27,26.0,-0.4
0.0,0.0,1.05,0.91,0.0,0.0,80.0,0.59,0.04,0.36,160.0,320.0,400.0,2.3,17.6,2008-10-27,24.0,-0.4
0.0,0.0,2.1,1.15,10399.0,0.0,0.0,0.57,0.20443788535031837,0.31,0.0,0.0,0.0,2.46,18.0,2008-10-27,24.0,-0.4
0.0,0.0,1.71701,1.4,0.0,0.0,4114.0,0.9237780000000001,0.130441,0.48248199999999997,9163.0,0.0,0.0,2.12339,18.8,2008-10-28,39.5,-0.4
0.0,0.0,2.61,2.18,0.0,0.0,0.0,0.54,0.13,0.37,5200.0,0.0,0.0,2.64,18.0,2008-11-03,109.0,-0.6
4265.0,0.0,2.0,16.73,6398.0,0.05,0.0,3.55,0.36,0.63,19193.0,0.0,0.0,78.09,14.3,2008-11-03,42.0,-0.6
0.0,0.0,0.84,0.85,80.0,0.0,0.0,0.84,0.12,0.5,400.0,1120.0,1280.0,4.3,16.2,2008-11-03,109.0,-0.6
0.0,187.0,0.8012739999999999,6.85,0.0,0.0,2244.0,1.15896,0.116899,0.445813,3179.0,0.0,0.0,3.02075,17.4,2008-11-03,75.5,-0.6
150.0,0.0,6.437,4.73,100.0,0.0,10500.0,0.877,0.335,0.724,10200.0,0.0,100.0,6.248,18.3,2008-11-03,75.5,-0.6
2751.519801980198,897.8781365638765,2.38,5.07,397.410257918552,0.0,5357.782178217822,2.04,0.31,0.47,4504.69801980198,26436.712871287127,11202.308370044053,5.0,16.0,2008-11-10,69.0,-0.6
0.0,2133.0,3.36,2.04,0.0,0.0,0.0,5.67,0.5,1.03,0.0,0.0,0.0,58.25,13.7,2008-11-10,47.0,-0.6
0.0,0.0,0.58,1.18,160.0,0.0,160.0,0.4,0.07,0.41,1840.0,720.0,0.0,3.7,16.9,2008-11-10,69.0,-0.6
5500.0,0.0,4.069,1.09,0.0,0.0,2000.0,10.413,0.338,1.098,80.0,1250.0,450.0,11.197,15.2,2008-11-11,59.5,-0.6
0.0,0.0,5.55,0.93,0.0,0.0,0.0,8.07,0.96,0.32,0.0,0.0,0.0,3.09,17.5,2008-11-17,-1.0,-0.6
0.0,0.0,0.14,1.26,80.0,0.0,80.0,0.12,0.02,0.33,1120.0,1520.0,0.0,3.7,16.9,2008-11-17,-1.0,-0.6
0.0,0.0,2.04,2.69,0.0,0.0,0.0,21.4,0.56,2.34,0.0,0.0,0.0,74.63,12.9,2008-11-17,9.0,-0.6
0.0,0.0,1.33796,2.05,94.0,0.0,280.0,0.737841,0.067489,0.36237199999999997,1309.0,842.0,8415.0,4.19931,16.4,2008-11-17,4.0,-0.6
27500.0,0.0,3.323,3.77,300.0,0.0,3000.0,2.274,0.321,0.482,2000.0,4500.0,24500.0,6.773,15.9,2008-11-18,32.07171314741036,-0.6
0.0,0.0,1.89,1.05,0.0,0.0,0.0,0.85,0.31,0.27,0.0,0.0,0.0,1.16,17.5,2008-11-24,-9.0,-0.6
0.0,2133.0,2.4,2.81,4265.0,0.0,0.0,7.59,0.43,1.09,10663.0,0.0,0.0,82.46,13.4,2008-11-24,-41.0,-0.6
0.0,0.0,0.0,0.76,80.0,0.0,0.0,0.25,0.02,0.33,400.0,880.0,0.0,3.0,17.0,2008-11-24,-9.0,-0.6
68722.0,0.0,0.585033,42.1,1402.0,0.04,1870.0,1.13857,0.229012,0.374104,8415.0,10752.0,0.0,2.88745,17.0,2008-11-24,-25.0,-0.6
9500.0,0.0,7.223,10.78,1400.0,0.0,5000.0,2.592,0.66,1.269,3500.0,1800.0,200.0,8.93,16.6,2008-11-26,11.0,-0.6
9500.0,0.0,7.22,11.52,1400.0,0.0,5000.0,2.59,0.66,1.27,3500.0,1800.0,200.0,8.93,16.6,2008-11-26,11.0,-0.6
0.0,0.0,2.39,3.43,0.0,0.0,0.0,1.09,0.3411355548387098,0.49,5200.0,0.0,0.0,3.62,17.0,2008-12-01,29.0,-0.7
0.0,8530.0,1.13,10.86,2133.0,0.0,0.0,4.62,0.32,0.79,2133.0,2133.0,0.0,80.8,13.9,2008-12-01,27.0,-0.7
0.0,0.0,0.36,1.46,0.0,0.0,80.0,0.48,0.08,0.44,1360.0,800.0,0.0,3.9,16.4,2008-12-01,29.0,-0.7
104.0,0.0,1.37579,12.7,1247.0,0.0,1558.0,0.627373,0.109075,0.39869099999999996,12882.0,0.0,0.0,5.14048,16.0,2008-12-01,28.0,-0.7
15600.0,0.0,1.19,5.92,2500.0,0.0,14500.0,0.13,0.24,0.52,4000.0,1150.0,450.0,3.81,16.4,2008-12-02,83.5,-0.7
15600.0,0.0,1.19,5.14,2500.0,0.0,14500.0,0.135,0.236,0.517,4000.0,1150.0,450.0,3.808,16.4,2008-12-02,83.5,-0.7
51997.0,0.0,1.66,12.21,0.0,0.0,0.0,1.0,0.32,0.29,10399.0,0.0,0.0,2.7,17.0,2008-12-08,117.0,-0.7
4265.0,0.0,1.46,3.54,0.0,0.0,0.0,5.31,0.41,0.81,6398.0,0.0,0.0,55.8,13.9,2008-12-08,105.0,-0.7
10800.0,0.0,5.815,4.43,300.0,0.0,1000.0,0.795,0.494,0.766,2000.0,5700.0,5800.0,7.173,15.2,2008-12-08,111.0,-0.7
0.0,0.0,1.02,1.63,0.0,0.0,0.0,0.18,0.05,0.37,3120.0,1200.0,0.0,3.4,16.6,2008-12-08,117.0,-0.7
187.0,0.0,3.5638300000000003,4.0,374.0,0.0,3086.0,0.966815,0.285206,0.425879,21318.0,187.0,0.0,4.50275,15.8,2008-12-08,111.0,-0.7
10399.0,0.0,1.84,4.53,0.0,0.08,0.0,1.36,0.35,0.36,0.0,20799.0,57197.0,2.91,16.0,2008-12-15,28.0,-0.7
0.0,80.0,0.54,1.24,0.0,0.0,80.0,0.25,0.04,0.36,2160.0,2160.0,0.0,3.9,15.1,2008-12-15,28.0,-0.7
3000.0,0.0,5.782,1.03,0.0,0.07,800.0,8.315,1.71,2.346,900.0,400.0,3100.0,14.134,12.8,2008-12-15,18.5,-0.7
94.0,94.0,4.13621,3.0,0.0,0.0,94.0,5.58458,0.394565,1.0198399999999999,748.0,0.0,0.0,6.92243,14.9,2008-12-15,18.5,-0.7
0.0,0.0,0.93,2.05,0.0,0.0,0.0,7.24,0.43,0.99,4265.0,0.0,0.0,73.17,13.2,2008-12-15,9.0,-0.7
31198.0,0.0,1.74,10.41,0.0,0.0,0.0,1.07,0.23,0.46,0.0,0.0,0.0,4.19,15.0,2008-12-22,123.0,-0.7
0.0,0.0,0.74,1.61,80.0,0.0,0.0,1.25,0.19,0.5,2480.0,2240.0,0.0,5.2,14.5,2008-12-22,123.0,-0.7
0.0,0.0,1.17,2.01,0.0,0.0,0.0,9.93,0.51,1.31,7464.0,0.0,0.0,68.56,12.3,2008-12-22,101.0,-0.7
0.0,0.0,9.18471,2.4,94.0,0.0,0.0,3.59835,0.504555,0.5861609999999999,654.0,0.0,3553.0,7.15727,13.8,2008-12-28,8.5,-0.7
320.0,0.0,0.82,1.4,0.0,0.0,0.0,2.57,0.26,0.59,1600.0,4000.0,0.0,6.6,13.7,2008-12-29,15.0,-0.7
100.0,0.0,2.731,3.36,80.0,0.0,0.0,3.854,0.468,0.788,600.0,4600.0,4400.0,6.269,12.1,2008-12-31,49.0,-0.7
0.0,0.0,2.64605,5.5,7053.0,0.04,0.0,3.22225,0.403366,0.543566,85496.0,413161.0,0.0,5.0204,12.5,2009-01-05,60.5,-0.8
80.0,500.0,3.761,1.83,500.0,0.0,550.0,1.919,0.329,1.056,11000.0,200.0,5800.0,6.256,12.4,2009-01-05,60.5,-0.8
5600.0,0.0,0.78,2.64,400.0,0.0,600.0,1.23,0.16,0.5,7200.0,15400.0,0.0,6.0,13.4,2009-01-05,72.0,-0.8
0.0,0.0,1.08,1.94,0.0,0.0,0.0,13.35,0.49,1.56,0.0,0.0,0.0,55.2,11.6,2009-01-05,49.0,-0.8
10399.0,0.0,2.2,4.71,0.0,0.0,0.0,0.81,0.13,0.4,0.0,0.0,0.0,1.86,14.5,2009-01-07,9.0,-0.8
3636.0,0.0,0.48,2.53,0.0,0.0,0.0,0.49,0.09,0.41,7273.0,8485.0,0.0,5.1,13.9,2009-01-08,36.0,-0.8
0.0,0.0,1.0,3.21,0.0,0.0,0.0,1.05,0.4172620773809526,0.41,5200.0,0.0,0.0,1.89,14.5,2009-01-12,-43.0,-0.8
100.0,0.0,2.45,0.98,0.0,0.0,100.0,2.354,0.237,0.616,1500.0,0.0,3100.0,6.21,13.0,2009-01-12,-31.0,-0.8
6640.0,0.0,0.47,2.55,320.0,0.0,80.0,0.29,0.06,0.37,8320.0,8560.0,2080.0,5.1,14.0,2009-01-12,-43.0,-0.8
0.0,0.0,1.91,0.99,0.0,0.0,0.0,9.91,0.43,1.19,0.0,0.0,0.0,87.54,11.6,2009-01-12,-19.0,-0.8
0.0,0.0,2.87,1.5,187.0,0.08,0.0,1.21,0.13,0.4,935.0,13651.0,0.0,4.79,14.0,2009-01-13,-12.0,-0.8
0.0,0.0,3.12,1.41,0.0,0.0,0.0,0.61,0.4172620773809526,0.37,5200.0,0.0,0.0,3.44,15.0,2009-01-19,3.0,-0.8
0.0,0.0,1.16,5.5,1870.0,0.0,374.0,0.74,0.18,0.39,68068.0,187.0,0.0,3.23,14.0,2009-01-19,2.0,-0.8
0.0,2133.0,2.84,1.83,0.0,0.01,0.0,5.52,0.24,0.91,1066.0,0.0,0.0,80.3,12.1,2009-01-19,1.0,-0.8
100.0,1200.0,3.407,3.86,1000.0,0.0,100.0,1.554,0.349,0.789,18900.0,1100.0,1500.0,7.093,13.2,2009-01-20,5.5,-0.8
1680.0,80.0,0.7,1.69,80.0,0.0,0.0,0.15,0.04,0.34,3920.0,3680.0,1520.0,4.4,14.5,2009-01-20,3.0,-0.8
937.2410256410257,280.1841703196347,0.73,1.1,217.50471698113208,0.0,968.1846153846154,0.05,0.03,0.33,4155.671794871795,8530.082051282052,2509.0,4.5,14.6,2009-01-22,-1.0,-0.8
5200.0,0.0,3.88,5.51,0.0,0.0,0.0,2.21,0.7,0.46,20799.0,0.0,0.0,3.83,15.0,2009-01-26,107.0,-0.8
909.0,606.0,1.03,1.39,909.0,0.0,0.0,0.42,0.04,0.41,3939.0,1818.0,0.0,5.0,14.3,2009-01-26,107.0,-0.8
0.0,0.0,2.64,0.93,100.0,0.0,0.0,1.315,0.2,0.632,11900.0,300.0,0.0,5.286,13.9,2009-01-26,110.5,-0.8
0.0,0.0,1.15,4.0,2672.0,0.0,2672.0,1.99,0.47,0.36,192367.0,0.0,0.0,4.53,14.0,2009-01-26,110.5,-0.8
0.0,0.0,2.32,0.53,0.0,0.0,0.0,4.37,0.29,0.8,1066.0,0.0,0.0,46.83,12.8,2009-01-26,114.0,-0.8
0.0,0.0,2.92,3.26,0.0,0.0,0.0,0.32,0.16,0.39,46797.0,15599.0,0.0,3.37,15.0,2009-02-02,-4.0,-0.7
0.0,0.0,3.183,1.77,0.0,0.0,0.0,3.187,0.362,0.796,4400.0,8200.0,0.0,7.276,13.2,2009-02-02,-2.0,-0.7
0.0,0.0,5.01,5.0,0.0,0.0,561.0,0.77,0.11,0.54,54417.0,0.0,0.0,5.85,14.0,2009-02-02,-2.0,-0.7
909.0,303.0,1.03,1.68,0.0,0.0,0.0,0.38,0.05,0.39,21212.0,13030.0,0.0,5.7,14.4,2009-02-02,-4.0,-0.7
0.0,0.0,2.9,3.38,0.0,0.0,0.0,12.95,0.44,1.5,164207.0,0.0,0.0,63.67,12.4,2009-02-02,0.0,-0.7
0.0,0.0,3.65,1.03,80.0,0.0,0.0,1.189,0.3,0.584,3400.0,750.0,300.0,6.101,12.4,2009-02-09,173.0,-0.7
0.0,0.0,0.78,3.0,0.0,0.0,0.0,2.69,0.25,0.42,286110.0,5610.0,0.0,5.4,14.0,2009-02-09,173.0,-0.7
0.0,0.0,3.52,1.73,0.0,0.0,0.0,1.58,0.39,0.45,5200.0,0.0,0.0,2.88,15.0,2009-02-09,189.0,-0.7
0.0,0.0,1.32,1.22,303.0,0.0,0.0,0.13,0.03,0.39,18182.0,8182.0,9394.0,5.2,14.5,2009-02-09,189.0,-0.7
0.0,0.0,2.17,0.88,0.0,0.0,0.0,8.0,0.26,1.14,0.0,0.0,0.0,50.55,12.8,2009-02-09,157.0,-0.7
606.0,0.0,1.4,1.23,0.0,0.0,0.0,0.51,0.06,0.41,12727.0,6667.0,2121.0,6.0,14.2,2009-02-12,135.0,-0.7
909.0,0.0,1.39,2.3,303.0,0.0,0.0,1.7,0.14,0.53,23636.0,11818.0,0.0,6.7,13.8,2009-02-16,-13.0,-0.7
0.0,0.0,1.47,6.5,217.0,0.04,0.0,3.92,0.31,0.83,13047.0,6523.0,0.0,6.48,14.0,2009-02-16,-54.0,-0.7
0.0,0.0,2.71,1.03,0.0,0.0,0.0,6.5,0.67,0.91,0.0,0.0,0.0,53.24,12.2,2009-02-16,-95.0,-0.7
0.0,0.0,3.233,1.78,0.0,0.0,0.0,7.031,0.647,0.958,2600.0,3500.0,550.0,11.389,12.1,2009-02-17,-3.0,-0.7
0.0,0.0,2.35,2.55,0.0,0.0,0.0,2.26,0.32,0.54,5200.0,25998.0,0.0,5.6,14.5,2009-02-18,3.0,-0.7
0.0,0.0,2.48,3.58,0.0,0.0,0.0,1.87,0.28,0.51,20799.0,0.0,0.0,4.69,14.5,2009-02-23,59.0,-0.7
0.0,0.0,2.815,7.33,380.0,0.0,0.0,3.327,0.325,0.567,44140.0,3620.0,660.0,8.594,13.9,2009-02-23,30.0,-0.7
0.0,0.0,1.07,1.91,0.0,0.0,0.0,0.28,0.08,0.35,45455.0,3030.0,0.0,6.4,14.3,2009-02-23,59.0,-0.7
0.0,0.0,0.78,2.02,0.0,0.0,0.0,10.49,0.46,1.14,9596.0,0.0,0.0,55.7,12.5,2009-02-23,1.0,-0.7
0.0,0.0,2.56,4.0,0.0,0.04,0.0,1.06,0.25,0.32,22627.0,1683.0,0.0,3.75,14.0,2009-02-24,70.0,-0.7
0.0,0.0,4.123,2.26,100.0,0.0,0.0,3.48,0.4,0.862,9600.0,7800.0,2600.0,9.243,14.2,2009-03-02,24.0,-0.5
909.0,0.0,0.1,2.43,303.0,0.0,303.0,0.0,0.03,0.2,56667.0,10606.0,7576.0,7.6,14.9,2009-03-02,78.0,-0.5
0.0,0.0,1.96,7.5,1496.0,0.05,187.0,1.04,0.07,0.43,77605.0,5984.0,0.0,5.85,14.4,2009-03-02,24.0,-0.5
0.0,0.0,0.01,5.93,0.0,0.04,0.0,5.54,1.12,0.06,0.0,0.0,0.0,0.21,12.8,2009-03-02,-30.0,-0.5
0.0,0.0,4.24,5.63,0.0,0.0,0.0,4.08,0.34,0.68,25998.0,0.0,0.0,6.27,14.5,2009-03-04,57.0,-0.5
5455.0,2121.0,0.16,4.99,1212.0,0.0,0.0,0.0,0.03,0.2,186970.0,13636.0,8182.0,6.9,14.5,2009-03-09,119.0,-0.5
0.0,0.0,0.339,10.4,720.0,0.09,0.0,0.31,0.092,0.362,87800.0,74800.0,37100.0,3.748,13.2,2009-03-09,133.0,-0.5
0.0,0.0,7.37,4.0,1122.0,0.08,0.0,0.91,0.11,0.52,56848.0,8976.0,0.0,2.84,14.4,2009-03-09,133.0,-0.5
0.0,0.0,3.08,0.41,0.0,0.0,0.0,5.85,0.34,1.06,0.0,0.0,0.0,71.74,12.6,2009-03-09,147.0,-0.5
0.0,0.0,2.12,6.89,0.0,0.0,0.0,0.6,0.14,0.39,72796.0,0.0,20799.0,2.55,15.0,2009-03-11,63.0,-0.5
0.0,800.0,0.21,5.24,400.0,0.0,400.0,0.07,0.01,0.19,233200.0,18400.0,3200.0,7.2,14.7,2009-03-16,73.0,-0.5
56.0,0.0,3.82,5.5,56.0,0.16,0.0,1.48,0.15,0.59,1926.0,0.0,684.42,3.06,14.0,2009-03-16,58.5,-0.5
0.0,0.0,0.01,15.48,0.0,0.04,0.0,3.51,0.38,0.73,0.0,0.0,0.0,59.65,11.1,2009-03-16,44.0,-0.5
0.0,0.0,2.29,10.32,0.0,0.0,0.0,0.38,0.3372759583333334,0.3,155991.0,10399.0,0.0,1.96,15.5,2009-03-17,75.0,-0.5
0.0,0.0,3.729,1.68,0.0,0.17,0.0,0.847,0.222,0.824,7400.0,19300.0,10800.0,5.754,14.8,2009-03-17,93.0,-0.5
303.0,606.0,0.45,6.27,1212.0,0.0,606.0,1.7,0.15,0.46,223030.0,7273.0,3030.0,8.5,14.3,2009-03-23,174.0,-0.5
0.0,0.0,3.915,1.02,0.0,0.22,0.0,10.933,0.303,1.338,100.0,0.0,9600.0,17.175,10.0,2009-03-23,203.5,-0.5
